expectation_name,system,code,ucum_code,low,high
Hemoglobin [Mass/volume] in Blood between 0.0 and 15.0 /dL,http://loinc.org,718-7,/dL,0.0,15.0
Eosinophils [#/volume] in Blood by Automated count between 0.0 and 1.0 10*6/mL,http://loinc.org,711-2,10*6/mL,0.0,1.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 15.0 ug/dL,http://loinc.org,718-7,ug/dL,0.0,15.0
Eosinophils [#/volume] in Blood by Automated count between 0.0 and 1000.0 /uL,http://loinc.org,711-2,/uL,0.0,1000.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 6.0 mmol/L,http://loinc.org,718-7,mmol/L,0.0,6.0
Eosinophils [#/volume] in Blood by Automated count between 0.0 and 7.0 %,http://loinc.org,711-2,%,0.0,7.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 14.0 [lb_us],http://loinc.org,718-7,[lb_us],0.0,14.0
Hemoglobin [Mass/volume] in Blood between 1.0 and 100.0 g/dL,http://loinc.org,718-7,g/dL,1.0,100.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 1000.0 g/L,http://loinc.org,718-7,g/L,0.0,1000.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 60.0 mL,http://loinc.org,718-7,mL,0.0,60.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 110.0 cm,http://loinc.org,718-7,cm,0.0,110.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 17.0 mg,http://loinc.org,718-7,mg,0.0,17.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 35.0 pg,http://loinc.org,718-7,pg,0.0,35.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 100.0 %,http://loinc.org,718-7,%,0.0,100.0
Lymphocytes [#/volume] in Blood by Automated count between 0.0 and 1.0 10*3/mL,http://loinc.org,731-0,10*3/mL,0.0,1.0
Lymphocytes [#/volume] in Blood by Manual count between 0.01 and 50.0 10*3/uL,http://loinc.org,732-8,10*3/uL,0.01,50.0
Lymphocytes/100 leukocytes in Blood by Automated count between 0.0 and 100.0 %,http://loinc.org,736-9,%,0.0,100.0
Lymphocytes/100 leukocytes in Blood by Manual count between 0.01 and 50.0 10*3/uL,http://loinc.org,737-7,10*3/uL,0.01,50.0
Lymphocytes [#/volume] in Blood by Manual count between 0.0 and 3000.0 /uL,http://loinc.org,732-8,/uL,0.0,3000.0
Lymphocytes/100 leukocytes in Blood by Manual count between 0.0 and 1000.0 10*6/mL,http://loinc.org,737-7,10*6/mL,0.0,1000.0
Lymphocytes [#/volume] in Blood by Automated count between 0.01 and 50.0 10*3/uL,http://loinc.org,731-0,10*3/uL,0.01,50.0
Lymphocytes [#/volume] in Blood by Manual count between 0.0 and 100.0 %,http://loinc.org,732-8,%,0.0,100.0
Lymphocytes/100 leukocytes in Blood by Manual count between 0.0 and 100.0 %,http://loinc.org,737-7,%,0.0,100.0
Lymphocytes [#/volume] in Blood by Automated count between 0.0 and 1000.0 10*6/mL,http://loinc.org,731-0,10*6/mL,0.0,1000.0
Lymphocytes [#/volume] in Blood by Automated count between 0.0 and 10000.0 /uL,http://loinc.org,731-0,/uL,0.0,10000.0
Lymphocytes [#/volume] in Blood by Automated count between 0.0 and 100.0 %,http://loinc.org,731-0,%,0.0,100.0
Monocytes [#/volume] in Blood by Automated count between 0.0 and 1.0 10*3/mL,http://loinc.org,742-7,10*3/mL,0.0,1.0
Monocytes [#/volume] in Blood by Manual count between 0.0 and 100.0 %,http://loinc.org,743-5,%,0.0,100.0
Monocytes [#/volume] in Blood by Automated count between 0.0 and 1000.0 10*3/uL,http://loinc.org,742-7,10*3/uL,0.0,1000.0
Monocytes [#/volume] in Blood by Automated count between 0.0 and 1000.0 10*6/mL,http://loinc.org,742-7,10*6/mL,0.0,1000.0
Monocytes [#/volume] in Blood by Automated count between 0.0 and 3000.0 /uL,http://loinc.org,742-7,/uL,0.0,3000.0
Monocytes [#/volume] in Blood by Automated count between 0.0 and 100.0 %,http://loinc.org,742-7,%,0.0,100.0
Myelocytes/100 leukocytes in Blood by Manual count between 0.0 and 100.0 %,http://loinc.org,749-2,%,0.0,100.0
Neutrophils [#/volume] in Blood by Automated count between 0.01 and 50.0 10*9/L,http://loinc.org,751-8,10*9/L,0.01,50.0
Neutrophils [#/volume] in Blood by Automated count between 0.01 and 50.0 10*3/mm3,http://loinc.org,751-8,10*3/mm3,0.01,50.0
Neutrophils [#/volume] in Blood by Manual count between 1.0 and 50000.0 /uL,http://loinc.org,753-4,/uL,1.0,50000.0
Neutrophils [#/volume] in Blood by Automated count between 0.01 and 50.0 10*3/uL,http://loinc.org,751-8,10*3/uL,0.01,50.0
Neutrophils [#/volume] in Blood by Automated count between 1.0 and 50000.0 /uL,http://loinc.org,751-8,/uL,1.0,50000.0
Systolic blood pressure by Noninvasive between 10.0 and 250.0 mm[Hg],http://loinc.org,76534-7,mm[Hg],10.0,250.0
Segmented neutrophils/100 leukocytes in Blood by Manual count between 25.0 and 100.0 %,http://loinc.org,769-0,%,25.0,100.0
Neutrophils/100 leukocytes in Blood by Automated count between 45.0 and 75.0 %,http://loinc.org,770-8,%,45.0,75.0
Platelet mean volume [Entitic volume] in Blood by Rees-Ecker between 7.0 and 20.0 fL,http://loinc.org,776-5,fL,7.0,20.0
Fibrin D-dimer [Units/volume] in Platelet poor plasma between 0.0 and 3.0 ug/mL,http://loinc.org,7799-0,ug/mL,0.0,3.0
MCHC [Mass/volume] by Automated count between 27.0 and 40.0 g/dL,http://loinc.org,786-4,g/dL,27.0,40.0
Fibrin D-dimer [Units/volume] in Platelet poor plasma between 0.0 and 2500.0 ng/mL,http://loinc.org,7799-0,ng/mL,0.0,2500.0
MCHC [Mass/volume] by Automated count between 27.0 and 40.0 g/L,http://loinc.org,786-4,g/L,27.0,40.0
Fibrin D-dimer [Units/volume] in Platelet poor plasma between 0.0 and 2.0 mg/L,http://loinc.org,7799-0,mg/L,0.0,2.0
MCHC [Mass/volume] by Automated count between 27.0 and 40.0 pg,http://loinc.org,786-4,pg,27.0,40.0
Fibrin D-dimer [Units/volume] in Platelet poor plasma between 0.0 and 1500.0 ug/L,http://loinc.org,7799-0,ug/L,0.0,1500.0
MCHC [Mass/volume] by Automated count between 27.0 and 40.0 %,http://loinc.org,786-4,%,27.0,40.0
Platelets [#/volume] in Blood by Automated count between 100.0 and 600.0 10*9/L,http://loinc.org,777-3,10*9/L,100.0,600.0
Platelets [#/volume] in Blood by Automated count between 1.0 and 4000.0 10*3/mm3,http://loinc.org,777-3,10*3/mm3,1.0,4000.0
Platelets [#/volume] in Blood by Automated count between 100.0 and 1000.0 10*3/uL,http://loinc.org,777-3,10*3/uL,100.0,1000.0
Platelets [#/volume] in Blood by Automated count between 1.0 and 10.0 10*6/mL,http://loinc.org,777-3,10*6/mL,1.0,10.0
Platelets [#/volume] in Blood by Automated count between 10.0 and 1000.0 /mm3,http://loinc.org,777-3,/mm3,10.0,1000.0
MCV [Entitic volume] by Automated count between 70.0 and 120.0 fL,http://loinc.org,787-2,fL,70.0,120.0
Erythrocyte distribution width [Ratio] by Automated count between 12.0 and 54.0 fL,http://loinc.org,788-0,fL,12.0,54.0
Erythrocytes [#/volume] in Blood by Automated count between 0.0 and 6.0 uL,http://loinc.org,789-8,uL,0.0,6.0
Erythrocyte distribution width [Ratio] by Automated count between 0.0 and 100.0 %,http://loinc.org,788-0,%,0.0,100.0
Erythrocytes [#/volume] in Blood by Automated count between 0.0 and 2.0 10*3/mL,http://loinc.org,789-8,10*3/mL,0.0,2.0
Erythrocytes [#/volume] in Blood by Automated count between 0.0 and 5.0 10*3/mm3,http://loinc.org,789-8,10*3/mm3,0.0,5.0
Erythrocytes [#/volume] in Blood by Automated count between 0.0 and 100.0 10*3/uL,http://loinc.org,789-8,10*3/uL,0.0,100.0
Erythrocytes [#/volume] in Blood by Automated count between 0.0 and 100.0 10*6/mL,http://loinc.org,789-8,10*6/mL,0.0,100.0
Erythrocytes [#/volume] in Blood by Automated count between 0.01 and 6.0 10*6/uL,http://loinc.org,789-8,10*6/uL,0.01,6.0
Erythrocytes [#/volume] in Blood by Automated count between 0.0 and 6.0 g/dL,http://loinc.org,789-8,g/dL,0.0,6.0
Leukocytes [#/volume] in Blood by Manual count between 0.0 and 100.0 10*3/uL,http://loinc.org,804-5,10*3/uL,0.0,100.0
Leukocytes [#/volume] in Cerebral spinal fluid by Manual count between 0.0 and 11.0 /mm3,http://loinc.org,806-0,/mm3,0.0,11.0
Leukocytes [#/volume] in Cerebral spinal fluid by Manual count between 0.0 and 200.0 /uL,http://loinc.org,806-0,/uL,0.0,200.0
Body height between 0.2 and 2.5 m,http://loinc.org,8302-2,m,0.2,2.5
Body temperature between 34.0 and 45.0 Cel,http://loinc.org,8310-5,Cel,34.0,45.0
Waist Circumference at umbilicus by Tape measure between 15.0 and 74.0 [in_us],http://loinc.org,8280-0,[in_us],15.0,74.0
Waist Circumference at umbilicus by Tape measure between 40.0 and 222.0 cm,http://loinc.org,8280-0,cm,40.0,222.0
Body height between 2.0 and 275.0 [in_i],http://loinc.org,8302-2,[in_i],2.0,275.0
Body height between 20000.0 and 250000.0 mm,http://loinc.org,8302-2,mm,20000.0,250000.0
Body height between 20.0 and 250.0 cm,http://loinc.org,8302-2,cm,20.0,250.0
Systolic blood pressure--sitting between 10.0 and 250.0 mm[Hg],http://loinc.org,8459-0,mm[Hg],10.0,250.0
Systolic blood pressure--standing between 10.0 and 250.0 mm[Hg],http://loinc.org,8460-8,mm[Hg],10.0,250.0
Systolic blood pressure--supine between 10.0 and 250.0 mm[Hg],http://loinc.org,8461-6,mm[Hg],10.0,250.0
Diastolic blood pressure between 30.0 and 200.0 mm[Hg],http://loinc.org,8462-4,mm[Hg],30.0,200.0
Mean blood pressure between 10.0 and 500.0 mm[Hg],http://loinc.org,8478-0,mm[Hg],10.0,500.0
Systolic blood pressure by palpation between 10.0 and 250.0 mm[Hg],http://loinc.org,8479-8,mm[Hg],10.0,250.0
Systolic blood pressure between 10.0 and 250.0 mm[Hg],http://loinc.org,8480-6,mm[Hg],10.0,250.0
Q-T interval corrected between 0.0 and 1000.0 No matching concept,http://loinc.org,8636-3,No matching concept,0.0,1000.0
Heart rate between 10.0 and 500.0 {counts}/min,http://loinc.org,8867-4,{counts}/min,10.0,500.0
Respiratory rate between 0.0 and 100.0 ',http://loinc.org,9279-1,',0.0,100.0
Respiratory rate between 0.0 and 100.0 /min,http://loinc.org,9279-1,/min,0.0,100.0
Cholesterol.total/Cholesterol in HDL [Percentile] between 2.0 and 75.0 %,http://loinc.org,9322-9,%,2.0,75.0
Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma between 2.0 and 158.0 {ratio},http://loinc.org,9830-1,{ratio},2.0,158.0
Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma between 1.0 and 75.0 %,http://loinc.org,9830-1,%,1.0,75.0
Alanine aminotransferase measurement between 5.0 and 2000.0 [U],http://snomed.info/sct,34608000,[U],5.0,2000.0
Glucose measurement between 0.0 and 9.0 nmol/L,http://snomed.info/sct,36048009,nmol/L,0.0,9.0
Glucose measurement between 0.0 and 2.0 g/L,http://snomed.info/sct,36048009,g/L,0.0,2.0
Systolic blood pressure on admission between 10.0 and 250.0 mm[Hg],http://snomed.info/sct,399304008,mm[Hg],10.0,250.0
Sitting systolic blood pressure between 10.0 and 250.0 mm[Hg],http://snomed.info/sct,407554009,mm[Hg],10.0,250.0
Lying systolic blood pressure between 10.0 and 250.0 mm[Hg],http://snomed.info/sct,407556006,mm[Hg],10.0,250.0
Basophils/100 leukocytes in Blood by Manual count between 0.001 and 1000.0 %,http://loinc.org,707-0,%,0.001,1000.0
Eosinophils [#/volume] in Blood by Manual count between 0.001 and 20.0 10*3/uL,http://loinc.org,712-0,10*3/uL,0.001,20.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 100.0 fL,http://loinc.org,718-7,fL,0.0,100.0
Lymphocytes [#/volume] in Blood by Automated count between 0.0 and 4.0 10*3/mm3,http://loinc.org,731-0,10*3/mm3,0.0,4.0
Monocytes [#/volume] in Blood by Automated count between 0.0 and 1000.0 10*3/mm3,http://loinc.org,742-7,10*3/mm3,0.0,1000.0
Neutrophils [#/volume] in Blood by Manual count between 0.01 and 50.0 10*3/uL,http://loinc.org,753-4,10*3/uL,0.01,50.0
Platelets [#/volume] in Blood by Automated count between 100000.0 and 1000000.0 /uL,http://loinc.org,777-3,/uL,100000.0,1000000.0
Erythrocytes [#/volume] in Blood by Automated count between 0.0 and 5.0 /mm3,http://loinc.org,789-8,/mm3,0.0,5.0
Erythrocytes [#/volume] in Blood by Automated count between 0.0 and 60.0 %,http://loinc.org,789-8,%,0.0,60.0
Thyroperoxidase Ab [Units/volume] in Serum or Plasma between 0.0 and 1000.0 [iU]/mL,http://loinc.org,8099-4,[iU]/mL,0.0,1000.0
Body surface area between 1.0 and 52.0 m2,http://loinc.org,8277-6,m2,1.0,52.0
Body height between 2.0 and 275.0 [in_us],http://loinc.org,8302-2,[in_us],2.0,275.0
Standing systolic blood pressure between 10.0 and 250.0 mm[Hg],http://snomed.info/sct,400974009,mm[Hg],10.0,250.0
Body temperature between 36.0 and 71.0 F,http://loinc.org,8310-5,F,36.0,71.0
Serum total cholesterol measurement between 1.0 and 15.0 mmol/L,http://snomed.info/sct,412808005,mmol/L,1.0,15.0
Serum total cholesterol measurement between 50.0 and 500.0 mg/dL,http://snomed.info/sct,412808005,mg/dL,50.0,500.0
Measurement of total cholesterol and triglycerides between 1.0 and 15.0 mmol/L,http://snomed.info/sct,443915001,mmol/L,1.0,15.0
Measurement of total cholesterol and triglycerides between 50.0 and 500.0 mg/dL,http://snomed.info/sct,443915001,mg/dL,50.0,500.0
C-reactive protein measurement between 0.1 and 50.0 mg/dL,http://snomed.info/sct,55235003,mg/dL,0.1,50.0
C-reactive protein measurement between 0.0 and 544.0 mg/L,http://snomed.info/sct,55235003,mg/L,0.0,544.0
C-reactive protein measurement between 1.0 and 18.0 mg,http://snomed.info/sct,55235003,mg,1.0,18.0
Serum creatinine level between 10.0 and 30.0 mg/L,http://snomed.info/sct,1000731000000107,mg/L,10.0,30.0
Serum creatinine level between 0.1 and 5.0 mg/dL,http://snomed.info/sct,1000731000000107,mg/dL,0.1,5.0
Plasma total cholesterol level between 1.0 and 15.0 mmol/L,http://snomed.info/sct,1017161000000104,mmol/L,1.0,15.0
Plasma total cholesterol level between 50.0 and 500.0 mg/dL,http://snomed.info/sct,1017161000000104,mg/dL,50.0,500.0
"Creatinine Measurement, serum between 10.0 and 200.0 umol/L",http://snomed.info/sct,113075003,umol/L,10.0,200.0
Total cholesterol measurement between 0.0 and 100.0 %,http://snomed.info/sct,121868005,%,0.0,100.0
Total cholesterol measurement between 0.0 and 1000.0 nmol/L,http://snomed.info/sct,121868005,nmol/L,0.0,1000.0
Total cholesterol measurement between 50.0 and 500.0 mg/dL,http://snomed.info/sct,121868005,mg/dL,50.0,500.0
Total cholesterol measurement between 1.0 and 10.0 g/L,http://snomed.info/sct,121868005,g/L,1.0,10.0
Serum creatinine level between 10.0 and 200.0 umol/L,http://snomed.info/sct,1000731000000107,umol/L,10.0,200.0
"Creatinine Measurement, serum between 0.1 and 5.0 mg/dL",http://snomed.info/sct,113075003,mg/dL,0.1,5.0
MCH [Entitic mass] by Automated count between 0.0 and 100.0 pg,http://loinc.org,785-6,pg,0.0,100.0
Input/Output between 0.0 and  mL,http://loinc.org,IO_OUT,mL,0.0,
MCH [Entitic mass] by Automated count between 0.0 and 100.0 %,http://loinc.org,785-6,%,0.0,100.0
Cancer Ag 125 [Units/volume] in Serum or Plasma between 1.0 and 628.0 [iU]/mL,http://loinc.org,10334-1,[iU]/mL,1.0,628.0
Digoxin [Mass/volume] in Serum or Plasma between 0.0 and 2.0 ng/mL,http://loinc.org,10535-3,ng/mL,0.0,2.0
Globulin [Mass/volume] in Serum by calculation between 2.0 and 4.0 g/dL,http://loinc.org,10834-0,g/dL,2.0,4.0
Prostate Specific Ag Free [Mass/volume] in Serum or Plasma between 0.0 and 10.0 ng/mL,http://loinc.org,10886-0,ng/mL,0.0,10.0
Cancer Ag 125 [Units/volume] in Serum or Plasma between 1.0 and 628.0 [arb'U]/mL,http://loinc.org,10334-1,[arb'U]/mL,1.0,628.0
Digoxin [Mass/volume] in Serum or Plasma between 0.0 and 3.0 ng/dL,http://loinc.org,10535-3,ng/dL,0.0,3.0
Prostate Specific Ag Free [Mass/volume] in Serum or Plasma between 0.0 and 10.0 ug/L,http://loinc.org,10886-0,ug/L,0.0,10.0
Cancer Ag 125 [Units/volume] in Serum or Plasma between 1.0 and 628.0 10*3.[U]/L,http://loinc.org,10334-1,10*3.[U]/L,1.0,628.0
Digoxin [Mass/volume] in Serum or Plasma between 0.0 and 2.0 ug/L,http://loinc.org,10535-3,ug/L,0.0,2.0
Digoxin [Mass/volume] in Serum or Plasma between 0.0 and 2.0 nmol/L,http://loinc.org,10535-3,nmol/L,0.0,2.0
