expectation_name,system,system_oid,code,ucum_code,low,high
"Phosphatase, alkaline between 1.0 and 360.0 mg/dL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84075,mg/dL,1.0,360.0
Phosphorus inorganic (phosphate) between 1.0 and 10.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84100,mg/dL,1.0,10.0
"Potassium; serum, plasma or whole blood between 3.0 and 8.0 10*-3.eq/L",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84132,10*-3.eq/L,3.0,8.0
Bilirubin; total between 1.0 and 34.0 g/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82247,g/dL,1.0,34.0
Bilirubin; direct between 1.0 and 1900.0 ng/mL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82248,ng/mL,1.0,1900.0
Calcium; total between 1.2 and 448.0 pg/mL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82310,pg/mL,1.2,448.0
Chloride; blood between 1.0 and 97.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82435,mg/dL,1.0,97.0
"Creatine kinase (CK), (CPK); total between 1.0 and 242.0 10*3/uL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82550,10*3/uL,1.0,242.0
Creatinine; blood between 10.0 and 30.0 mg/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82565,mg/L,10.0,30.0
Creatinine; other source between 10.0 and 30.0 mg/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82570,mg/L,10.0,30.0
Ferritin between 0.01 and 700.0 ng/mL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82728,ng/mL,0.01,700.0
Hemoglobin; glycosylated (A1C) between 0.0 and 300.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83036,mg/dL,0.0,300.0
Iron between 0.0 and 1000.0 ug/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83540,ug/dL,0.0,1000.0
"Lipoprotein, direct measurement; LDL cholesterol between 5.0 and 400.0 mg/dL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83721,mg/dL,5.0,400.0
Magnesium between 0.0 and 1000.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83735,mg/dL,0.0,1000.0
"Phosphatase, alkaline between 1.0 and 36.0 g/dL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84075,g/dL,1.0,36.0
Phosphorus inorganic (phosphate) between 1.0 and 10.0 mmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84100,mmol/L,1.0,10.0
"Potassium; serum, plasma or whole blood between 3.0 and 8.0 mmol/L",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84132,mmol/L,3.0,8.0
Bilirubin; direct between 1.0 and 37000.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82248,mg/dL,1.0,37000.0
Calcium; total between 7.0 and 13.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82310,mg/dL,7.0,13.0
Chloride; blood between 90.0 and 147.0 mmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82435,mmol/L,90.0,147.0
"Creatine kinase (CK), (CPK); total between 1.0 and 1000.0 ng/mL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82550,ng/mL,1.0,1000.0
Creatinine; blood between 0.1 and 5.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82565,mg/dL,0.1,5.0
Creatinine; other source between 0.1 and 5.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82570,mg/dL,0.1,5.0
Ferritin between 0.0 and 150.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82728,mg/dL,0.0,150.0
Hemoglobin; glycosylated (A1C) between 0.0 and 3000.0 nmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83036,nmol/L,0.0,3000.0
Iron between 0.0 and 100.0 %,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83540,%,0.0,100.0
Magnesium between 0.0 and 6000.0 ug/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83735,ug/dL,0.0,6000.0
Phosphorus inorganic (phosphate) between 1.0 and 10.0 g/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84100,g/dL,1.0,10.0
Bilirubin; direct between 1.0 and 483.0 ug/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82248,ug/dL,1.0,483.0
Calcium; total between 1.0 and 147.0 mmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82310,mmol/L,1.0,147.0
"Creatine kinase (CK), (CPK); total between 1.0 and 1000.0 mg/dL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82550,mg/dL,1.0,1000.0
Ferritin between 0.0 and 32.0 g/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82728,g/dL,0.0,32.0
Hemoglobin; glycosylated (A1C) between 0.0 and 36.0 pg,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83036,pg,0.0,36.0
Magnesium between 0.0 and 10.0 mmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83735,mmol/L,0.0,10.0
Bilirubin; direct between 1.0 and 148.0 mmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82248,mmol/L,1.0,148.0
Calcium; total between 3.4 and 36.0 g/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82310,g/dL,3.4,36.0
"Creatine kinase (CK), (CPK); total between 1.0 and 915.0 ug/dL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82550,ug/dL,1.0,915.0
Ferritin between 0.0 and 100.0 fL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82728,fL,0.0,100.0
Hemoglobin; glycosylated (A1C) between 0.01 and 20.0 %,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83036,%,0.01,20.0
Magnesium between 0.0 and 2100.0 nmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83735,nmol/L,0.0,2100.0
Bilirubin; direct between 1.0 and 1000.0 nmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82248,nmol/L,1.0,1000.0
"Creatine kinase (CK), (CPK); total between 1.58 and 1000.0 ng/dL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82550,ng/dL,1.58,1000.0
Ferritin between 0.0 and 40.0 %,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82728,%,0.0,40.0
Magnesium between 0.0 and 100.0 %,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83735,%,0.0,100.0
Bilirubin; direct between 1.0 and 37.0 g/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82248,g/dL,1.0,37.0
"Creatine kinase (CK), (CPK); total between 1.0 and 242.0 mmol/L",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82550,mmol/L,1.0,242.0
"Creatine kinase (CK), (CPK); total between 1.0 and 242.0 g/dL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82550,g/dL,1.0,242.0
Prolactin between 1.0 and 1000.0 ng/mL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84146,ng/mL,1.0,1000.0
Prostate specific antigen (PSA); total between 0.0 and 10.0 ng/mL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84153,ng/mL,0.0,10.0
Testosterone; total between 5.0 and 1000.0 ng/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84403,ng/dL,5.0,1000.0
Thyroid stimulating hormone (TSH) between 0.0 and 100.0 %,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84443,%,0.0,100.0
Triglycerides between 40.0 and 1000.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84478,mg/dL,40.0,1000.0
Blood count; hemoglobin (Hgb) between 3.0 and 36.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,85018,mg/dL,3.0,36.0
"Thromboplastin time, partial (PTT); plasma or whole blood between 0.0 and 100.0 %",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,85730,%,0.0,100.0
Prostate specific antigen (PSA); total between 1.0 and 100.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84153,mg/dL,1.0,100.0
Testosterone; total between 0.0 and 100.0 %,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84403,%,0.0,100.0
Triglycerides between 0.0 and 100.0 %,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,84478,%,0.0,100.0
Blood count; hemoglobin (Hgb) between 2.0 and 319.0 ug/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,85018,ug/dL,2.0,319.0
Blood count; hemoglobin (Hgb) between 3.0 and 36.0 g/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,85018,g/dL,3.0,36.0
Carbon dioxide (bicarbonate) between 2.0 and 42.0 mmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82374,mmol/L,2.0,42.0
Serum creatinine level between 10.0 and 30.0 mg/L,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,1000731000000107,mg/L,10.0,30.0
Serum creatinine level between 0.1 and 5.0 mg/dL,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,1000731000000107,mg/dL,0.1,5.0
Serum creatinine level between 10.0 and 200.0 umol/L,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,1000731000000107,umol/L,10.0,200.0
Plasma total cholesterol level between 1.0 and 15.0 mmol/L,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,1017161000000104,mmol/L,1.0,15.0
Plasma total cholesterol level between 50.0 and 500.0 mg/dL,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,1017161000000104,mg/dL,50.0,500.0
"Creatinine Measurement, serum between 10.0 and 200.0 umol/L",http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,113075003,umol/L,10.0,200.0
Total cholesterol measurement between 0.0 and 100.0 %,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,121868005,%,0.0,100.0
Total cholesterol measurement between 0.0 and 1000.0 nmol/L,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,121868005,nmol/L,0.0,1000.0
Total cholesterol measurement between 50.0 and 500.0 mg/dL,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,121868005,mg/dL,50.0,500.0
Total cholesterol measurement between 1.0 and 10.0 g/L,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,121868005,g/L,1.0,10.0
"Creatinine Measurement, serum between 0.1 and 5.0 mg/dL",http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,113075003,mg/dL,0.1,5.0
Serum total cholesterol measurement between 1.0 and 15.0 mmol/L,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,412808005,mmol/L,1.0,15.0
Serum total cholesterol measurement between 50.0 and 500.0 mg/dL,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,412808005,mg/dL,50.0,500.0
Measurement of total cholesterol and triglycerides between 50.0 and 500.0 mg/dL,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,443915001,mg/dL,50.0,500.0
C-reactive protein measurement between 0.1 and 50.0 mg/dL,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,55235003,mg/dL,0.1,50.0
C-reactive protein measurement between 0.0 and 544.0 mg/L,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,55235003,mg/L,0.0,544.0
C-reactive protein measurement between 1.0 and 18.0 mg,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,55235003,mg,1.0,18.0
Measurement of total cholesterol and triglycerides between 1.0 and 15.0 mmol/L,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,443915001,mmol/L,1.0,15.0
24 hour systolic blood pressure between 10.0 and 250.0 mm[Hg],http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,314464000,mm[Hg],10.0,250.0
Fasting cholesterol level between 1.0 and 15.0 mmol/L,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,315017003,mmol/L,1.0,15.0
Fasting cholesterol level between 50.0 and 500.0 mg/dL,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,315017003,mg/dL,50.0,500.0
Target systolic blood pressure between 10.0 and 250.0 No matching concept,http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,315612005,No matching concept,10.0,250.0
Target systolic blood pressure between 10.0 and 250.0 mm[Hg],http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,315612005,mm[Hg],10.0,250.0
MCH [Entitic mass] by Automated count between 0.0 and 100.0 pg,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,785-6,pg,0.0,100.0
Input/Output between 0.0 and  mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,IO_OUT,mL,0.0,
MCH [Entitic mass] by Automated count between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,785-6,%,0.0,100.0
Lymphocytes/100 leukocytes in Cerebral spinal fluid by Manual count between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10328-3,%,0.0,100.0
Cancer Ag 125 [Units/volume] in Serum or Plasma between 1.0 and 628.0 [iU]/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10334-1,[iU]/mL,1.0,628.0
Digoxin [Mass/volume] in Serum or Plasma between 0.0 and 2.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10535-3,ng/mL,0.0,2.0
Globulin [Mass/volume] in Serum by calculation between 2.0 and 4.0 g/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10834-0,g/dL,2.0,4.0
Prostate Specific Ag Free [Mass/volume] in Serum or Plasma between 0.0 and 10.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10886-0,ng/mL,0.0,10.0
Cancer Ag 125 [Units/volume] in Serum or Plasma between 1.0 and 628.0 [arb'U]/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10334-1,[arb'U]/mL,1.0,628.0
Digoxin [Mass/volume] in Serum or Plasma between 0.0 and 3.0 ng/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10535-3,ng/dL,0.0,3.0
Globulin [Mass/volume] in Serum by calculation between 2.0 and 40.0 g/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10834-0,g/L,2.0,40.0
Prostate Specific Ag Free [Mass/volume] in Serum or Plasma between 0.0 and 10.0 ug/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10886-0,ug/L,0.0,10.0
Digoxin [Mass/volume] in Serum or Plasma between 0.0 and 2.0 ug/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10535-3,ug/L,0.0,2.0
Cancer Ag 125 [Units/volume] in Serum or Plasma between 1.0 and 628.0 [U]/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10334-1,[U]/mL,1.0,628.0
Digoxin [Mass/volume] in Serum or Plasma between 0.0 and 2.0 nmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10535-3,nmol/L,0.0,2.0
Cancer Ag 125 [Units/volume] in Serum or Plasma between 1.0 and 628.0 umol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,10334-1,umol/L,1.0,628.0
Kappa light chains [Mass/volume] in Serum or Plasma between 0.0 and 500.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,11050-2,mg/dL,0.0,500.0
Cholesterol in LDL/Cholesterol in HDL [Mass Ratio] in Serum or Plasma between 1.0 and 28.0 {ratio},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,11054-4,{ratio},1.0,28.0
Tacrolimus [Mass/volume] in Blood between 0.0 and 51.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,11253-2,ng/mL,0.0,51.0
Rheumatoid factor [Units/volume] in Serum or Plasma between 0.0 and 100.0 [iU]/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,11572-5,[iU]/mL,0.0,100.0
Kappa light chains [Mass/volume] in Serum or Plasma between 0.0 and 150.0 mg/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,11050-2,mg/L,0.0,150.0
Cholesterol [Mass/volume] in Body fluid between 50.0 and 500.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,12183-0,mg/dL,50.0,500.0
aPTT in Control Blood by Coagulation assay between 18.0 and 60.0 '',http://loinc.org,urn:oid:2.16.840.1.113883.6.1,12185-5,'',18.0,60.0
Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by Electrophoresis between 1.0 and 326.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,12187-1,ng/mL,1.0,326.0
Creatinine [Mass/volume] in Body fluid between 10.0 and 200.0 umol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,12190-5,umol/L,10.0,200.0
Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by Electrophoresis between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,12187-1,%,0.0,100.0
Creatinine [Mass/volume] in Body fluid between 10.0 and 30.0 mg/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,12190-5,mg/L,10.0,30.0
Creatinine [Mass/volume] in Body fluid between 0.1 and 5.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,12190-5,mg/dL,0.1,5.0
Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma between 10.0 and 45.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,12841-3,%,10.0,45.0
Iron/Transferrin [Mass Ratio] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13452-8,%,0.0,100.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation between 35.0 and 596.0 nmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13457-7,nmol/L,35.0,596.0
Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation between 6.0 and 100.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13458-5,mg/dL,6.0,100.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation between 51.0 and 372.0 ng/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13457-7,ng/dL,51.0,372.0
Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation between 6.0 and 100.0 ug/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13458-5,ug/dL,6.0,100.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation between 45.0 and 400.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13457-7,mg/dL,45.0,400.0
Calcium.ionized [Moles/volume] in Serum or Plasma by calculation between 3.0 and 6.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13959-2,mg/dL,3.0,6.0
Sex hormone binding globulin [Moles/volume] in Serum or Plasma between 0.01 and 200.0 nmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13967-5,nmol/L,0.01,200.0
Creatine kinase.MB [Mass/volume] in Serum or Plasma between 0.0 and 1000.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13969-1,ng/mL,0.0,1000.0
Lactate [Mass/volume] in Serum or Plasma between 0.0 and 170.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14118-4,mg/dL,0.0,170.0
Reticulocytes [#/volume] in Blood between 0.01 and 1000.0 10*3/mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14196-0,10*3/mm3,0.01,1000.0
Sex hormone binding globulin [Moles/volume] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,13967-5,%,0.0,100.0
Lactate [Mass/volume] in Serum or Plasma between 0.0 and 100.0 mmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14118-4,mmol/L,0.0,100.0
Reticulocytes [#/volume] in Blood between 0.0 and 1000.0 10*3/uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14196-0,10*3/uL,0.0,1000.0
Bicarbonate [Moles/volume] in Venous blood between 18.0 and 47.0 10*-3.eq/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14627-4,10*-3.eq/L,18.0,47.0
Bilirubin.total [Moles/volume] in Serum or Plasma between 0.01 and 11.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14631-6,mg/dL,0.01,11.0
Cholesterol [Moles/volume] in Serum or Plasma between 1.0 and 15.0 mmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14647-2,mmol/L,1.0,15.0
Creatinine [Moles/volume] in Serum or Plasma between 0.1 and 5.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14682-9,mg/dL,0.1,5.0
Creatinine [Moles/volume] in Urine between 300.0 and 3000.0 mg/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14683-7,mg/L,300.0,3000.0
Glucose [Moles/volume] in Serum or Plasma between 0.0 and 500.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14749-6,mg/dL,0.0,500.0
Phosphate [Moles/volume] in Serum or Plasma between 2.0 and 17.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14879-1,mg/dL,2.0,17.0
Urea nitrogen [Moles/volume] in Serum or Plasma between 5.0 and 100.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14937-7,mg/dL,5.0,100.0
Microalbumin [Mass/volume] in Urine between 0.0 and 1000.0 ug/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14957-5,ug/mL,0.0,1000.0
Microalbumin/Creatinine [Mass Ratio] in Urine between 0.001 and 100.0 mg/g{creat},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14959-1,mg/g{creat},0.001,100.0
aPTT in Platelet poor plasma by Coagulation assay between 18.0 and 60.0 s,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,14979-9,s,18.0,60.0
Glucose [Mass/volume] in Serum or Plasma --1 hour post 100 g glucose PO between 1.0 and 250.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,1501-6,mg/dL,1.0,250.0
Glucose [Mass/volume] in Serum or Plasma --1 hour post 75 g glucose PO between 1.0 and 250.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,1507-3,mg/dL,1.0,250.0
Glucose [Mass/volume] in Serum or Plasma --2 hours post 100 g glucose PO between 1.0 and 200.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,1514-9,mg/dL,1.0,200.0
Bilirubin.conjugated [Mass/volume] in Serum or Plasma between 0.01 and 100.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,15152-2,mg/dL,0.01,100.0
Glucose [Mass/volume] in Serum or Plasma --2 hours post 75 g glucose PO between 1.0 and 1100.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,1518-0,mg/dL,1.0,1100.0
Rheumatoid factor [Units/volume] in Serum by Nephelometry between 0.0 and 100.0 [iU]/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,15205-8,[iU]/mL,0.0,100.0
